feature,gain_total,gain_mean
emb_306,13.923573076725006,1.3923573076725007
emb_221,13.904690265655518,1.3904690265655517
emb_540,13.865308409789577,1.3865308409789576
emb_546,13.732349174330011,1.3732349174330012
emb_229,13.719461143016815,1.3719461143016816
emb_409,13.7128766477108,1.37128766477108
emb_84,13.712384862825274,1.3712384862825275
emb_549,13.633649915456772,1.3633649915456771
emb_288,13.278038044460118,1.3278038044460119
emb_517,12.907001987099648,1.2907001987099647
emb_126,12.895428106188774,1.2895428106188773
emb_222,12.837409615516663,1.2837409615516662
emb_349,12.801989912986755,1.2801989912986755
emb_62,12.70291131734848,1.270291131734848
emb_45,12.537982881069183,1.2537982881069183
emb_555,12.37028743326664,1.237028743326664
emb_312,12.309630990028381,1.2309630990028382
emb_159,12.228286895900965,1.2228286895900964
emb_133,12.18237590789795,1.2182375907897949
emb_83,12.1736900806427,1.21736900806427
emb_93,12.014470100402832,1.2014470100402832
emb_440,11.854690074920654,1.1854690074920655
emb_375,11.852390050888062,1.1852390050888062
emb_379,11.789220333099365,1.1789220333099366
emb_261,11.321359872817993,1.1321359872817993
emb_525,11.307589769363403,1.1307589769363404
emb_472,11.259505392983556,1.1259505392983555
emb_501,11.145380139350891,1.1145380139350891
emb_27,11.138695476576686,1.1138695476576685
emb_494,11.124508532695472,1.1124508532695472
emb_368,11.114299774169922,1.1114299774169922
emb_331,10.735010027885437,1.0735010027885437
emb_140,10.48465296626091,1.048465296626091
emb_78,10.431730151176453,1.0431730151176453
emb_359,9.975919961929321,0.9975919961929322
emb_520,9.795694798231125,0.9795694798231125
emb_373,9.686309814453125,0.9686309814453125
emb_51,9.475200057029724,0.9475200057029725
emb_460,9.4343900680542,0.9434390068054199
emb_293,9.415850222110748,0.9415850222110749
emb_166,9.396329879760742,0.9396329879760742
emb_390,9.381119728088379,0.9381119728088378
emb_203,9.352436155080795,0.9352436155080796
emb_109,9.270339965820312,0.9270339965820312
emb_217,9.138467169832438,0.9138467169832438
emb_324,9.10139000415802,0.910139000415802
emb_18,9.052550412714481,0.9052550412714482
emb_181,8.955021257221233,0.8955021257221233
emb_508,8.877709865570068,0.8877709865570068
emb_329,8.827511474490166,0.8827511474490166
emb_205,8.827239990234375,0.8827239990234375
emb_433,8.693672895431519,0.8693672895431519
emb_40,8.499632366001606,0.8499632366001606
emb_143,8.08525002002716,0.808525002002716
emb_565,8.061667785339523,0.8061667785339524
emb_554,7.865076154470444,0.7865076154470444
emb_260,7.757019996643066,0.7757019996643066
emb_76,7.7519366517663,0.77519366517663
emb_442,7.564164996147156,0.7564164996147156
emb_122,7.5470099449157715,0.7547009944915771
emb_23,7.381550073623657,0.7381550073623657
emb_435,7.2760211527347565,0.7276021152734756
emb_234,6.9927098751068115,0.6992709875106812
emb_155,6.966450214385986,0.6966450214385986
emb_117,6.794880151748657,0.6794880151748657
emb_63,6.791620131582022,0.6791620131582021
emb_196,6.773502469062805,0.6773502469062805
emb_88,6.637549877166748,0.6637549877166748
emb_534,6.589832748286426,0.6589832748286426
emb_446,6.562828958034515,0.6562828958034516
emb_230,6.494223773479462,0.6494223773479462
emb_465,6.454848766326904,0.6454848766326904
emb_262,6.412990130484104,0.6412990130484104
emb_1,6.196172297000885,0.6196172297000885
emb_354,6.162103316280991,0.6162103316280991
emb_316,6.02373993396759,0.602373993396759
emb_75,5.965090036392212,0.5965090036392212
emb_95,5.9263609506888315,0.5926360950688832
emb_345,5.747610092163086,0.5747610092163086
emb_468,5.721142889349721,0.5721142889349722
emb_381,5.691699981689453,0.5691699981689453
emb_515,5.60552978515625,0.560552978515625
emb_480,5.547208070755005,0.5547208070755005
emb_518,5.525820016860962,0.5525820016860962
emb_398,5.520669333636761,0.5520669333636761
emb_14,5.515419960021973,0.5515419960021972
emb_141,5.460716068744659,0.546071606874466
emb_561,5.445179434493184,0.5445179434493184
emb_71,5.4411269426345825,0.5441126942634582
emb_447,5.370582073926926,0.5370582073926926
emb_178,5.363060116767883,0.5363060116767884
emb_136,5.1149261593818665,0.5114926159381866
emb_424,4.809720039367676,0.4809720039367676
emb_236,4.748492062091827,0.47484920620918275
emb_135,4.733426928520203,0.47334269285202024
emb_286,4.722909927368164,0.4722909927368164
emb_39,4.661809921264648,0.46618099212646485
emb_128,4.590530872344971,0.45905308723449706
emb_112,4.560969948768616,0.45609699487686156
emb_504,4.55783998966217,0.455783998966217
emb_278,4.5560197830200195,0.45560197830200194
emb_474,4.5451260805130005,0.45451260805130006
emb_223,4.502660036087036,0.4502660036087036
emb_147,4.468802958726883,0.4468802958726883
emb_169,4.459757924079895,0.4459757924079895
emb_152,4.3544580936431885,0.43544580936431887
emb_22,4.314149856567383,0.4314149856567383
emb_438,4.3049304485321045,0.43049304485321044
emb_115,4.291864644503221,0.4291864644503221
emb_69,4.241429805755615,0.42414298057556155
emb_362,4.174233278725296,0.4174233278725296
emb_131,4.17187887430191,0.41718788743019103
emb_265,4.166346796788275,0.4166346796788275
emb_26,4.147970199584961,0.4147970199584961
emb_387,4.067331969738007,0.40673319697380067
emb_300,4.061089992523193,0.40610899925231936
emb_449,4.0346598625183105,0.40346598625183105
emb_388,3.9527390897274017,0.3952739089727402
emb_11,3.9294389188289642,0.3929438918828964
emb_270,3.9202860891819,0.39202860891819
emb_123,3.9080610871315002,0.39080610871315
emb_242,3.882862001657486,0.3882862001657486
emb_414,3.8308900594711304,0.38308900594711304
emb_528,3.827077981841285,0.3827077981841285
emb_441,3.7925509959459305,0.379255099594593
emb_34,3.778779983520508,0.37787799835205077
emb_54,3.759483963251114,0.3759483963251114
emb_457,3.694477792829275,0.3694477792829275
emb_497,3.673099994659424,0.3673099994659424
emb_461,3.671449899673462,0.3671449899673462
emb_192,3.622369945049286,0.3622369945049286
emb_163,3.5873100757598877,0.35873100757598875
emb_197,3.54082989692688,0.354082989692688
emb_127,3.5031812554225326,0.3503181255422533
emb_416,3.379621272906661,0.3379621272906661
emb_198,3.330505058169365,0.3330505058169365
emb_232,3.3299700021743774,0.3329970002174377
emb_49,3.317430019378662,0.3317430019378662
emb_317,3.312456965446472,0.3312456965446472
emb_397,3.2813481092453003,0.32813481092453
emb_524,3.278554581105709,0.32785545811057093
emb_510,3.2714554350823164,0.32714554350823166
emb_309,3.2652599811553955,0.32652599811553956
emb_411,3.251610040664673,0.3251610040664673
emb_56,3.25150990486145,0.32515099048614504
emb_172,3.234556046882062,0.3234556046882062
emb_43,3.2245081067085266,0.3224508106708527
emb_417,3.2239667139947414,0.32239667139947414
emb_175,3.138849973678589,0.3138849973678589
emb_72,3.1095007294788957,0.31095007294788957
emb_208,3.1092010140419006,0.3109201014041901
emb_500,3.0645769834518433,0.3064576983451843
emb_365,3.042949914932251,0.3042949914932251
emb_512,3.0178000926971436,0.3017800092697144
emb_519,3.008164033293724,0.30081640332937243
emb_496,2.966671109199524,0.2966671109199524
emb_64,2.9355020076036453,0.29355020076036453
emb_458,2.914560079574585,0.2914560079574585
emb_339,2.9005699157714844,0.2900569915771484
emb_419,2.812419891357422,0.28124198913574217
emb_482,2.810829997062683,0.2810829997062683
emb_538,2.796985015273094,0.2796985015273094
emb_202,2.727169990539551,0.2727169990539551
emb_327,2.6966300010681152,0.26966300010681155
emb_573,2.5981269776821136,0.25981269776821136
emb_186,2.578550317324698,0.2578550317324698
emb_305,2.542030096054077,0.2542030096054077
emb_385,2.4954700469970703,0.24954700469970703
emb_235,2.4761449098587036,0.24761449098587035
emb_283,2.4689379930496216,0.24689379930496216
emb_430,2.455901935696602,0.2455901935696602
emb_8,2.448740005493164,0.2448740005493164
emb_268,2.419250011444092,0.24192500114440918
emb_256,2.4132080078125,0.24132080078125
emb_535,2.371659994125366,0.23716599941253663
emb_557,2.355837918817997,0.2355837918817997
emb_364,2.3552799224853516,0.23552799224853516
emb_233,2.3517269417643547,0.23517269417643547
emb_347,2.335750102996826,0.2335750102996826
emb_73,2.293410062789917,0.2293410062789917
emb_116,2.2611470222473145,0.22611470222473146
emb_529,2.253394067287445,0.2253394067287445
emb_174,2.2279749512672424,0.22279749512672425
emb_566,2.215484470129013,0.2215484470129013
emb_526,2.132341980934143,0.21323419809341432
emb_475,2.111544966697693,0.2111544966697693
emb_9,2.0909500122070312,0.20909500122070312
emb_451,2.0748110115528107,0.20748110115528107
emb_401,1.8528345692902803,0.18528345692902803
emb_259,1.7556400299072266,0.17556400299072267
emb_434,1.740530014038086,0.17405300140380858
emb_25,1.7205170392990112,0.17205170392990113
emb_343,1.6813299655914307,0.16813299655914307
emb_353,1.5630300045013428,0.1563030004501343
emb_244,1.514050006866455,0.1514050006866455
emb_485,1.4965749680995941,0.1496574968099594
emb_280,1.4730600118637085,0.14730600118637086
emb_144,1.464460015296936,0.14644600152969361
emb_323,1.4431300163269043,0.14431300163269042
emb_183,1.4263679620344192,0.1426367962034419
emb_552,1.424430012702942,0.1424430012702942
emb_194,1.4206279814243317,0.14206279814243317
emb_456,1.40447998046875,0.140447998046875
emb_199,1.3522465750575066,0.13522465750575066
emb_170,1.3440495058894157,0.13440495058894159
emb_195,1.3292680382728577,0.13292680382728578
emb_320,1.3100090324878693,0.13100090324878694
emb_258,1.2914270162582397,0.12914270162582397
emb_391,1.2825499773025513,0.12825499773025512
emb_3,1.2608587136492133,0.12608587136492133
emb_15,1.2348909974098206,0.12348909974098206
emb_452,1.1581290066242218,0.11581290066242218
emb_423,1.1510299444198608,0.11510299444198609
emb_86,1.1252299547195435,0.11252299547195435
emb_486,1.1233999729156494,0.11233999729156494
emb_533,1.1131099462509155,0.11131099462509156
emb_572,1.076259970664978,0.10762599706649781
emb_36,1.0084811245615128,0.10084811245615129
emb_321,0.9478719830513,0.09478719830513001
emb_120,0.9048729836940765,0.09048729836940765
emb_91,0.8888450264930725,0.08888450264930725
emb_542,0.8757422994822264,0.08757422994822264
emb_429,0.8690810203552246,0.08690810203552246
emb_79,0.8474230170249939,0.08474230170249938
emb_180,0.791890025138855,0.0791890025138855
emb_299,0.7913299798965454,0.07913299798965454
emb_325,0.7729970216751099,0.07729970216751099
emb_30,0.7632889747619629,0.07632889747619628
emb_231,0.7575579881668091,0.0757557988166809
emb_403,0.7246350049972534,0.07246350049972534
emb_47,0.7074339985847473,0.07074339985847473
emb_276,0.6962530016899109,0.06962530016899109
emb_469,0.6959519982337952,0.06959519982337951
emb_110,0.6705849766731262,0.06705849766731262
emb_464,0.648410975933075,0.0648410975933075
emb_462,0.6332129836082458,0.06332129836082459
emb_350,0.6234328462742269,0.06234328462742269
emb_125,0.6151114352978766,0.06151114352978766
emb_284,0.5739759802818298,0.057397598028182985
emb_46,0.5679129958152771,0.05679129958152771
emb_74,0.5368840098381042,0.053688400983810426
emb_243,0.4728360027074814,0.04728360027074814
emb_384,0.4701240062713623,0.04701240062713623
emb_257,0.46195625700056553,0.04619562570005655
emb_421,0.4525766990846023,0.04525766990846023
emb_80,0.43794798851013184,0.043794798851013186
emb_412,0.4239148981869221,0.04239148981869221
emb_493,0.40544599294662476,0.040544599294662476
emb_145,0.38018599152565,0.038018599152565
emb_177,0.34947600960731506,0.034947600960731504
emb_204,0.34605199098587036,0.03460519909858704
emb_332,0.3297240138053894,0.03297240138053894
emb_146,0.3199079930782318,0.031990799307823184
emb_185,0.29050499200820923,0.029050499200820923
emb_142,0.28483062889426947,0.028483062889426945
emb_0,0.24783100187778473,0.024783100187778472
emb_251,0.2414126992225647,0.02414126992225647
emb_289,0.20547600090503693,0.020547600090503694
emb_575,0.20174400508403778,0.02017440050840378
emb_246,0.19507700204849243,0.019507700204849245
emb_427,0.19470499455928802,0.019470499455928804
emb_413,0.1886579990386963,0.018865799903869628
emb_227,0.17126399278640747,0.017126399278640746
emb_366,0.16992099583148956,0.016992099583148956
emb_2,0.15616099536418915,0.015616099536418914
emb_41,0.14335699379444122,0.014335699379444122
emb_539,0.12091200053691864,0.012091200053691863
emb_245,0.12064199894666672,0.012064199894666672
emb_132,0.12021400034427643,0.012021400034427643
